BuildingID,Blighted
dpt10mx,1
dpscpjv,1
dpt10x2,1
dpt12rp,1
dpsbebm,1
dpt10qz,1
dpt10rn,1
dpt10b8,1
dpt10qb,1
dpsb7v8,1
dpt108z,1
dpt10ry,1
dpt0bru,1
dpsbyz4,1
dpsbebt,1
dpt10js,1
dpsbufh,1
dpt10jz,1
dpscr2t,1
dpt10e1,1
dpsbfz5,1
dpsbfzn,1
dpsc4hw,1
dpsc4v9,1
dpscj48,1
dpsc5vf,1
dpsbfnp,1
dpscp7b,1
dpt12kn,1
dpscrj7,1
dpscqhb,1
dpscp8j,1
dpscnwn,1
dpt10hf,1
dpscmwx,1
dpsc6sy,1
dpt0bxm,1
dpscmwz,1
dpscmvm,1
dpt10tp,1
dpt108t,1
dpsc7q9,1
dpsbf77,1
dpscmdk,1
dpscmgt,1
dpsc6km,1
dpscp9r,1
dpscmfq,1
dpscp5r,1
dpscqdd,1
dpsbcy3,1
dpscmky,1
dpsc52n,1
dpsbfxt,1
dpscpx6,1
dpsc47b,1
dpsbfzh,1
dpsbfyy,1
dpsc1t5,1
dpsbzx7,1
dpsc718,1
dpscp4s,1
dpscp4f,1
dpscqnv,1
dpscqth,1
dpsc6kv,1
dpscp1g,1
dpsc7ck,1
dpscmys,1
dpscmvj,1
dpsc6mq,1
dpt10h8,1
dpt10wq,1
dpsbfzr,1
dpsbfyf,1
dpscmuv,1
dpscqtq,1
dpt121p,1
dpt122n,1
dpsc1u7,1
dpt102e,1
dpsbusv,1
dpsbfym,1
dpsc4br,1
dpsbup9,1
dpscrtd,1
dpscrkr,1
dpscrkw,1
dpschdd,1
dpscrwj,1
dpsbfzu,1
dpsch8s,1
dpscre5,1
dpscmq4,1
dpsch2k,1
dpscn85,1
dpsbuu7,1
dpscmb3,1
dpscjt5,1
dpscp5f,1
dpscp32,1
dpscnqk,1
dpscm8n,1
dpsc4bp,1
dpscmd1,1
dpsch8w,1
dpscrqt,1
dpscr1j,1
dpsch46,1
dpscmpj,1
dpscp4t,1
dpscncm,1
dpscq3e,1
dpscm8t,1
dpsbfyw,1
dpsc4bj,1
dpsbuz3,1
dpscheg,1
dpsbuxu,1
dpscnfp,1
dpscp0f,1
dpt10d4,1
dpsbu74,1
